ID_RESENA,PK_RELACIONAL,NOMBRE_RECURSO,BARRIO_RECURSO,CATEGORIA_RECURSO,TEXTO_RESENA,CALIFICACION,FECHA,IDIOMA,AUTOR_SINTETICO,DATASET_SINTETICO
C0000027,R000019,BURGUER KING,Cortes,restaurantes,"Raciones generosas, buena relacion calidad-precio. Lo recomiendo.",4,2025-03-02,es,Giulia B.,True
C0000028,R000020,TABERNA LA EXTREMEÑA. PRODUCTOS DE MI TIERRA,Palacio,restaurantes,"Cumple para una comida rapida, la comida correcta sin destacar. Ni fu ni fa.",5,2023-11-25,es,Diego T.,True
C0000029,R000021,DISCOTECA INDEPENDENCE,Cortes,restaurantes,"Highly recommended. A wonderful experience, the food was delicious, one of the highlights of our trip.",4,2024-09-06,en,Anna F.,True
C0000030,R000022,RESTAURANTE (PESCAITO FRITO),Cortes,restaurantes,"Highly recommended. Stunning place, we loved every minute, absolutely worth the visit.",5,2023-10-30,en,Ana L.,True
C0000031,R000022,RESTAURANTE (PESCAITO FRITO),Cortes,restaurantes,"Productos muy frescos, la paella espectacular, el pescado y la carne de primera.",4,2023-03-11,es,Diego F.,True
C0000032,R000023,CITY KEBAB,Sol,restaurantes,"Honestly, decent for a quick visit, it was okay, nothing special but fine.",3,2023-12-03,en,Elena S.,True
C0000033,R000023,CITY KEBAB,Sol,restaurantes,"En general, ambiente sencillo, carta corta pero suficiente, precio ajustado.",3,2025-10-16,es,Anna H.,True
C0000034,R000024,RESTAURANTE LA BOBIA CERVEZAS Y SIDRAS,Embajadores,restaurantes,"Highly recommended. Stunning place, the staff were lovely, we loved every minute.",5,2024-03-08,en,Emma H.,True
C0000035,R000026,MUSTY,Universidad,restaurantes,"Nos encanto. El vino de la casa acompaña genial, buena relacion calidad-precio, la paella espectacular. Merece mucho la pena.",4,2025-09-04,es,Pedro C.,True
C0000036,R000026,MUSTY,Universidad,restaurantes,"Un'esperienza bellissima, ci e piaciuto molto.",4,2025-07-06,it,Hans P.,True
C0000037,R000027,RESTAURANTE TERRAPLAZA,Sol,restaurantes,"Freundliches Personal, hat uns sehr gefallen, toller Ort.",5,2024-05-01,de,Tom B.,True
C0000038,R000027,RESTAURANTE TERRAPLAZA,Sol,restaurantes,"Personale gentile, posto stupendo.",4,2025-06-16,it,Luis T.,True
C0000039,R000027,RESTAURANTE TERRAPLAZA,Sol,restaurantes,"Hat uns sehr gefallen, gutes Preis-Leistungs-Verhaeltnis.",5,2025-10-15,de,Hans G.,True
C0000040,R000027,RESTAURANTE TERRAPLAZA,Sol,restaurantes,"Overpriced for what it is, poor service, not very clean.",2,2025-02-05,en,Sergio P.,True
C0000041,R000028,TAKO MAMA,Justicia,restaurantes,"Repetiremos. El vino de la casa acompaña genial, la paella espectacular, buena relacion calidad-precio. Merece mucho la pena.",5,2023-01-10,es,Pedro M.,True
C0000042,R000028,TAKO MAMA,Justicia,restaurantes,"Muy recomendable. Terraza agradable para cenar, raciones generosas, productos muy frescos. Merece mucho la pena.",4,2023-02-28,es,Luis T.,True
C0000043,R000028,TAKO MAMA,Justicia,restaurantes,"Nothing special but fine, a bit crowded.",3,2023-07-22,en,Joao R.,True
C0000044,R000029,DULCINEA CAFETERIA,Sol,restaurantes,"Muy recomendable. La comida estaba deliciosa, ambiente acogedor.",5,2024-11-09,es,Giulia V.,True
C0000045,R000029,DULCINEA CAFETERIA,Sol,restaurantes,"Toller Ort, gutes Preis-Leistungs-Verhaeltnis.",5,2023-10-28,de,Emma B.,True
C0000046,R000029,DULCINEA CAFETERIA,Sol,restaurantes,"El pescado y la carne de primera, productos muy frescos. Volveremos.",5,2024-05-03,es,Elena F.,True
C0000047,R000030,"YOGA, PILATES Y MANTENIMIENTO PERSONAL",Embajadores,deporte,"Nos encanto. Instalaciones limpias y bien equipadas, buena relacion calidad-precio, perfecto para entrenar.",5,2023-03-10,es,Javier H.,True
C0000048,R000033,MCDONALD,Palacio,restaurantes,"Highly recommended. One of the highlights of our trip, the food was delicious.",4,2024-04-27,en,Clara F.,True
C0000049,R000034,LA MALLORQUINA,Sol,restaurantes,"Para ser sinceros, ambiente sencillo, precio ajustado, cumple para una comida rapida.",4,2023-08-09,es,John G.,True
C0000050,R000034,LA MALLORQUINA,Sol,restaurantes,"The food was delicious, we loved every minute, a wonderful experience.",4,2024-10-03,en,Lucia T.,True
C0000051,R000034,LA MALLORQUINA,Sol,restaurantes,"Highly recommended. Great value for money, beautiful and well kept.",5,2024-09-08,en,Marco L.,True
C0000052,R000034,LA MALLORQUINA,Sol,restaurantes,"Nos encanto. La comida estaba deliciosa, la paella espectacular. Volveremos.",4,2023-07-19,es,Giulia M.,True
C0000053,R000035,LA MORDIDA,Justicia,restaurantes,"Posto stupendo, ci e piaciuto molto, un'esperienza bellissima.",5,2025-10-09,it,Clara G.,True
C0000054,R000035,LA MORDIDA,Justicia,restaurantes,"Honestly, a bit crowded, decent for a quick visit, nothing special but fine.",4,2023-07-03,en,Olivia S.,True
C0000055,R000035,LA MORDIDA,Justicia,restaurantes,"Nos encanto. La comida estaba deliciosa, la paella espectacular, productos muy frescos.",5,2024-10-29,es,Pedro V.,True
C0000056,R000035,LA MORDIDA,Justicia,restaurantes,"Muy recomendable. La comida estaba deliciosa, platos caseros llenos de sabor. Merece mucho la pena.",4,2023-12-28,es,Luis F.,True
C0000057,R000035,LA MORDIDA,Justicia,restaurantes,"Repetiremos. El vino de la casa acompaña genial, el pescado y la carne de primera. Lo recomiendo.",5,2025-04-12,es,Giulia M.,True
C0000058,R000035,LA MORDIDA,Justicia,restaurantes,"The staff were lovely, clean and welcoming, the food was delicious.",5,2024-12-10,en,Pedro T.,True
C0000059,R000037,BAR EL ENCUENTRO,Palacio,restaurantes,"Stunning place, clean and welcoming.",4,2023-01-09,en,Sergio B.,True
C0000060,R000037,BAR EL ENCUENTRO,Palacio,restaurantes,"Honestly, nothing special but fine, average overall, a bit crowded.",3,2025-11-08,en,Marco C.,True
C0000061,R000037,BAR EL ENCUENTRO,Palacio,restaurantes,"Loved it. The food was delicious, absolutely worth the visit.",4,2023-09-10,en,Anna S.,True
C0000062,R000038,LA VACA VERONICA,Cortes,restaurantes,"Highly recommended. Great value for money, clean and welcoming.",4,2024-05-27,en,Paul M.,True
C0000063,R000038,LA VACA VERONICA,Cortes,restaurantes,"Highly recommended. The food was delicious, we loved every minute.",4,2023-08-13,en,Paul L.,True
C0000064,R000039,AFTER 8,Cortes,restaurantes,"Carta corta pero suficiente, la comida correcta sin destacar, raciones normales. Sin mas.",4,2024-09-18,es,Liam F.,True
C0000065,R000039,AFTER 8,Cortes,restaurantes,"El pescado y la carne de primera, raciones generosas, el servicio atento y cercano.",5,2025-03-16,es,Lucia C.,True
C0000066,R000039,AFTER 8,Cortes,restaurantes,"Muy recomendable. La paella espectacular, platos caseros llenos de sabor. Merece mucho la pena.",4,2025-04-29,es,Olivia V.,True
C0000067,R000040,CASA RUA,Sol,restaurantes,"Une tres belle experience, excellent rapport qualite-prix, endroit magnifique.",4,2024-06-05,fr,Hans V.,True
C0000068,R000040,CASA RUA,Sol,restaurantes,"Muy recomendable. El pescado y la carne de primera, la comida estaba deliciosa, terraza agradable para cenar. Merece mucho la pena.",4,2023-08-02,es,Pedro G.,True
C0000069,R000040,CASA RUA,Sol,restaurantes,"Raciones generosas, la comida estaba deliciosa, las tapas riquisimas.",4,2024-11-07,es,Pablo V.,True
C0000070,R000040,CASA RUA,Sol,restaurantes,"Loved it. Absolutely worth the visit, one of the highlights of our trip, we loved every minute.",5,2023-11-18,en,Giulia L.,True
C0000071,R000041,VIANDAS DE SALAMANCA,Sol,restaurantes,"La comida estaba deliciosa, raciones generosas. Lo recomiendo.",4,2024-09-27,es,Marco H.,True
C0000072,R000041,VIANDAS DE SALAMANCA,Sol,restaurantes,"Volveremos seguro. El vino de la casa acompaña genial, el pescado y la carne de primera.",4,2025-01-09,es,Hans G.,True
C0000073,R000041,VIANDAS DE SALAMANCA,Sol,restaurantes,"Nos encanto. El servicio atento y cercano, postres caseros deliciosos. Merece mucho la pena.",5,2025-07-20,es,Ivan H.,True
C0000074,R000046,PARA PODER SEÑALIZAR EL MENÚ,Universidad,restaurantes,"Un peu bonde, dans la moyenne.",3,2025-03-15,fr,Chiara P.,True
C0000075,R000046,PARA PODER SEÑALIZAR EL MENÚ,Universidad,restaurantes,"Ambiente sencillo, cumple para una comida rapida, precio ajustado. Ni fu ni fa.",3,2024-01-06,es,Javier F.,True
C0000076,R000046,PARA PODER SEÑALIZAR EL MENÚ,Universidad,restaurantes,"Demasiado ruido dentro, el local estaba sucio, raciones escasas para el precio.",2,2024-03-31,es,Sergio H.,True
C0000077,R000047,TABLAO FLAMENCO LA QUIMERA,Sol,restaurantes,"En general, raciones normales, carta corta pero suficiente, la comida correcta sin destacar.",3,2023-12-02,es,Sophie P.,True
C0000078,R000050,VIPS,Palacio,restaurantes,"Loved it. Beautiful and well kept, clean and welcoming, the staff were lovely.",4,2023-07-18,en,Ivan S.,True
C0000079,R000050,VIPS,Palacio,restaurantes,"A bit crowded, average overall, it was okay.",5,2023-06-30,en,Sofia B.,True
C0000080,R000051,RESTAURANTE PARRONDO ,Sol,restaurantes,"Volveremos seguro. Buena relacion calidad-precio, platos caseros llenos de sabor, las tapas riquisimas. Merece mucho la pena.",4,2023-09-02,es,Marta B.,True
C0000081,R000051,RESTAURANTE PARRONDO ,Sol,restaurantes,"Nos encanto. La paella espectacular, las tapas riquisimas, productos muy frescos. Lo recomiendo.",5,2024-12-08,es,Hans M.,True
C0000082,R000051,RESTAURANTE PARRONDO ,Sol,restaurantes,"Para ser sinceros, carta corta pero suficiente, ambiente sencillo, cumple para una comida rapida.",3,2025-04-03,es,Marta S.,True
C0000083,R000051,RESTAURANTE PARRONDO ,Sol,restaurantes,"Posto stupendo, personale gentile.",4,2024-08-10,it,John R.,True
C0000084,R000051,RESTAURANTE PARRONDO ,Sol,restaurantes,"Excellent rapport qualite-prix, une tres belle experience.",4,2023-08-25,fr,Clara B.,True
C0000085,R000051,RESTAURANTE PARRONDO ,Sol,restaurantes,"Sadly, not very clean, poor service, very disappointing.",2,2025-10-14,en,Clara S.,True
C0000086,R000053,EL TIGRE DEL NORTE,Justicia,restaurantes,"La verdad, la comida correcta sin destacar, raciones normales. Sin mas.",5,2025-05-21,es,Joao M.,True
C0000087,R000054,BAR RESTAURANTE EN BUSCA DEL TIEMPO,Sol,restaurantes,"Volveremos seguro. El servicio atento y cercano, cocina tradicional bien ejecutada. Volveremos.",5,2023-11-26,es,Marta T.,True
C0000088,R000054,BAR RESTAURANTE EN BUSCA DEL TIEMPO,Sol,restaurantes,"Endroit magnifique, on a adore, excellent rapport qualite-prix.",5,2023-10-23,fr,Sergio R.,True
C0000089,R000054,BAR RESTAURANTE EN BUSCA DEL TIEMPO,Sol,restaurantes,"El servicio atento y cercano, buena relacion calidad-precio. Merece mucho la pena.",5,2023-04-25,es,Sophie H.,True
C0000090,R000055,TACO BELL,Sol,restaurantes,"Nos encanto. El vino de la casa acompaña genial, la paella espectacular. Lo recomiendo.",5,2025-01-08,es,Ivan P.,True
C0000091,R000055,TACO BELL,Sol,restaurantes,"Nos encanto. La comida estaba deliciosa, raciones generosas. Volveremos.",5,2023-08-16,es,Pedro T.,True
C0000092,R000056,BAR LA CAMPANA,Sol,restaurantes,"Schlechter Service, ueberteuert, zu voll.",2,2024-11-22,de,Hans G.,True
C0000093,R000057,DIVINA LA COCINA,Justicia,restaurantes,"A wonderful experience, clean and welcoming, one of the highlights of our trip.",5,2025-09-07,en,Liam G.,True
C0000094,R000057,DIVINA LA COCINA,Justicia,restaurantes,"Muy recomendable. La comida estaba deliciosa, terraza agradable para cenar.",5,2023-07-20,es,Diego L.,True
C0000095,R000057,DIVINA LA COCINA,Justicia,restaurantes,"Repetiremos. El pescado y la carne de primera, buena relacion calidad-precio. Merece mucho la pena.",5,2023-02-20,es,Emma C.,True
C0000096,R000057,DIVINA LA COCINA,Justicia,restaurantes,"Honestly, a bit crowded, it was okay, nothing special but fine.",5,2023-12-01,en,Marco G.,True
C0000097,R000057,DIVINA LA COCINA,Justicia,restaurantes,"Honestly, nothing special but fine, it was okay.",3,2024-01-29,en,Giulia B.,True
C0000098,R000058,BAR RESTAURANTE  MADRID-MADRIZ,Universidad,restaurantes,"Volveremos seguro. Ambiente acogedor, las tapas riquisimas. Lo recomiendo.",5,2025-10-18,es,Elena H.,True
C0000099,R000058,BAR RESTAURANTE  MADRID-MADRIZ,Universidad,restaurantes,"Nos encanto. Las tapas riquisimas, buena relacion calidad-precio, la comida estaba deliciosa. Volveremos.",5,2025-03-28,es,Marta C.,True
C0000100,R000059,J & J BOOKS AND COFEE,Universidad,restaurantes,"Volveremos seguro. Cocina tradicional bien ejecutada, postres caseros deliciosos. Merece mucho la pena.",4,2024-05-11,es,Ana C.,True
C0000101,R000061,GRAZIE MILLE,Sol,restaurantes,"Volveremos seguro. Platos caseros llenos de sabor, el pescado y la carne de primera. Un 10.",4,2025-05-30,es,Olivia S.,True
C0000102,R000062,TXAPELA,Universidad,restaurantes,"Volveremos seguro. Ambiente acogedor, productos muy frescos. Volveremos.",5,2023-08-04,es,Emma L.,True
C0000103,R000063,O CACHO DO JOSE,Cortes,restaurantes,"Repetiremos. El pescado y la carne de primera, ambiente acogedor, la paella espectacular. Lo recomiendo.",5,2024-08-07,es,John P.,True
C0000104,R000063,O CACHO DO JOSE,Cortes,restaurantes,"Highly recommended. The food was delicious, a wonderful experience, one of the highlights of our trip.",4,2024-04-14,en,Luis R.,True
C0000105,R000063,O CACHO DO JOSE,Cortes,restaurantes,"La verdad, la comida correcta sin destacar, ambiente sencillo, cumple para una comida rapida. Cumple.",3,2023-12-06,es,Pablo T.,True
C0000106,R000064,PETIT PALACE ARENAL,Sol,restaurantes,"Personnel adorable, une tres belle experience, on a adore.",4,2023-04-02,fr,Emma P.,True
C0000107,R000064,PETIT PALACE ARENAL,Sol,restaurantes,"Very disappointing, poor service.",2,2025-03-16,en,Sophie P.,True
C0000108,R000064,PETIT PALACE ARENAL,Sol,restaurantes,"Nos encanto. Las tapas riquisimas, el vino de la casa acompaña genial. Lo recomiendo.",5,2023-10-13,es,Olivia H.,True
C0000109,R000064,PETIT PALACE ARENAL,Sol,restaurantes,"Las tapas riquisimas, platos caseros llenos de sabor, productos muy frescos. Merece mucho la pena.",4,2025-11-07,es,Sofia C.,True
C0000110,R000064,PETIT PALACE ARENAL,Sol,restaurantes,"Para ser sinceros, la comida correcta sin destacar, precio ajustado. Sin mas.",3,2024-01-02,es,Pedro P.,True
C0000111,R000064,PETIT PALACE ARENAL,Sol,restaurantes,"Muy recomendable. Las tapas riquisimas, productos muy frescos, platos caseros llenos de sabor. Un 10.",5,2023-07-21,es,Giulia L.,True
C0000112,R000065,HOTEL PETIT PALACE PUERTA DEL SOL,Sol,restaurantes,"Muy recomendable. Postres caseros deliciosos, las tapas riquisimas. Volveremos.",4,2025-01-25,es,Joao R.,True
C0000113,R000065,HOTEL PETIT PALACE PUERTA DEL SOL,Sol,restaurantes,"Repetiremos. La comida estaba deliciosa, buena relacion calidad-precio. Merece mucho la pena.",4,2025-08-06,es,Elena T.,True
C0000114,R000065,HOTEL PETIT PALACE PUERTA DEL SOL,Sol,restaurantes,"Gutes Preis-Leistungs-Verhaeltnis, freundliches Personal, ein wunderbares Erlebnis.",5,2023-07-27,de,Joao C.,True
C0000115,R000065,HOTEL PETIT PALACE PUERTA DEL SOL,Sol,restaurantes,"On a adore, une tres belle experience, excellent rapport qualite-prix.",5,2025-09-28,fr,Marie H.,True
C0000116,R000065,HOTEL PETIT PALACE PUERTA DEL SOL,Sol,restaurantes,"Precio ajustado, ambiente sencillo, carta corta pero suficiente. Cumple.",4,2025-05-02,es,Marco R.,True
C0000117,R000065,HOTEL PETIT PALACE PUERTA DEL SOL,Sol,restaurantes,"El servicio algo lento pero amable, la comida correcta sin destacar. Sin mas.",3,2025-11-10,es,John P.,True
C0000118,R000066,RESTAURANTE,Justicia,restaurantes,"Para ser sinceros, cumple para una comida rapida, el servicio algo lento pero amable. Ni fu ni fa.",4,2024-04-07,es,Chiara S.,True
C0000119,R000066,RESTAURANTE,Justicia,restaurantes,"Buena relacion calidad-precio, productos muy frescos, raciones generosas. Un 10.",5,2024-01-14,es,Elena T.,True
C0000120,R000066,RESTAURANTE,Justicia,restaurantes,"Muy recomendable. Cocina tradicional bien ejecutada, terraza agradable para cenar, la paella espectacular. Un 10.",4,2024-12-09,es,Joao L.,True
C0000121,R000067,HOTEL CASA DE LAS ARTES,Cortes,restaurantes,"On a adore, personnel adorable, une tres belle experience.",5,2025-10-20,fr,Paul C.,True
C0000122,R000068,EL FOGON VERDE,Cortes,restaurantes,"Ganz okay, nichts Besonderes.",5,2023-11-23,de,Emma P.,True
C0000123,R000068,EL FOGON VERDE,Cortes,restaurantes,"Volveremos seguro. Cocina tradicional bien ejecutada, buena relacion calidad-precio, platos caseros llenos de sabor. Un 10.",4,2025-05-22,es,Joao P.,True
C0000124,R000069,SUKALDEA,Embajadores,restaurantes,"Highly recommended. Absolutely worth the visit, beautiful and well kept, a wonderful experience.",5,2023-01-01,en,Marta C.,True
C0000125,R000069,SUKALDEA,Embajadores,restaurantes,"Highly recommended. The staff were lovely, clean and welcoming.",5,2023-06-25,en,Ana B.,True
C0000126,R000069,SUKALDEA,Embajadores,restaurantes,"Stunning place, one of the highlights of our trip, clean and welcoming.",4,2025-05-23,en,Nuria H.,True
C0000127,R000073,BURGER KING GRAN VIA 69,Palacio,restaurantes,"Para ser sinceros, precio ajustado, el servicio algo lento pero amable, la comida correcta sin destacar. Cumple.",5,2025-05-01,es,Joao L.,True
C0000128,R000073,BURGER KING GRAN VIA 69,Palacio,restaurantes,"Nos encanto. La comida estaba deliciosa, la paella espectacular. Un 10.",5,2023-07-29,es,Laura B.,True
C0000129,R000074,FREDDO FREDDO (EXPOSITOR DE HELADOS),Palacio,restaurantes,"El pescado y la carne de primera, la paella espectacular, el servicio atento y cercano. Merece mucho la pena.",5,2025-12-23,es,Laura G.,True
C0000130,R000075,CALUANA,Sol,restaurantes,"En general, el servicio algo lento pero amable, carta corta pero suficiente, cumple para una comida rapida. Sin mas.",3,2024-05-16,es,Ana S.,True
C0000131,R000075,CALUANA,Sol,restaurantes,"Dans la moyenne, un peu bonde, bien pour une visite rapide.",3,2023-02-08,fr,Chiara M.,True
C0000132,R000075,CALUANA,Sol,restaurantes,"Para ser sinceros, cumple para una comida rapida, raciones normales, la comida correcta sin destacar.",3,2023-11-23,es,Sophie G.,True
C0000133,R000075,CALUANA,Sol,restaurantes,"El servicio algo lento pero amable, carta corta pero suficiente. Ni fu ni fa.",3,2024-09-14,es,Lucia L.,True
C0000134,R000077,LA PARADITA,Palacio,restaurantes,"Repetiremos. Terraza agradable para cenar, el servicio atento y cercano. Lo recomiendo.",4,2025-07-12,es,John F.,True
C0000135,R000077,LA PARADITA,Palacio,restaurantes,"Repetiremos. La paella espectacular, productos muy frescos, las tapas riquisimas. Un 10.",5,2024-01-22,es,Tom B.,True
C0000136,R000078,LA MUCCA,Universidad,restaurantes,"En general, la comida correcta sin destacar, precio ajustado, cumple para una comida rapida.",4,2024-11-27,es,Paul M.,True
C0000137,R000078,LA MUCCA,Universidad,restaurantes,"Loved it. A wonderful experience, we loved every minute, absolutely worth the visit.",5,2024-08-18,en,Marco G.,True
C0000138,R000078,LA MUCCA,Universidad,restaurantes,"Repetiremos. Raciones generosas, el servicio atento y cercano, cocina tradicional bien ejecutada. Merece mucho la pena.",5,2024-04-18,es,Laura V.,True
C0000139,R000079,HOTEL INFANTAS  BY MIJ,Justicia,restaurantes,"Para ser sinceros, cumple para una comida rapida, el servicio algo lento pero amable.",3,2025-11-29,es,Anna P.,True
C0000140,R000079,HOTEL INFANTAS  BY MIJ,Justicia,restaurantes,"Volveremos seguro. Cocina tradicional bien ejecutada, platos caseros llenos de sabor, ambiente acogedor. Un 10.",5,2023-12-08,es,Tom C.,True
C0000141,R000079,HOTEL INFANTAS  BY MIJ,Justicia,restaurantes,"Repetiremos. Terraza agradable para cenar, platos caseros llenos de sabor, cocina tradicional bien ejecutada. Merece mucho la pena.",4,2024-02-12,es,Marie M.,True
C0000142,R000080,ALMALIBRE ACAI HOUSE,Justicia,restaurantes,"Nos encanto. El servicio atento y cercano, postres caseros deliciosos.",5,2023-11-22,es,Sophie L.,True
C0000143,R000080,ALMALIBRE ACAI HOUSE,Justicia,restaurantes,"En general, precio ajustado, ambiente sencillo. Sin mas.",3,2024-07-21,es,Joao S.,True
C0000144,R000081,BAR COLORES,Embajadores,restaurantes,"We loved every minute, clean and welcoming, stunning place.",5,2024-07-06,en,Marta V.,True
C0000145,R000082,VINCCI CENTRUM,Cortes,restaurantes,"Highly recommended. One of the highlights of our trip, stunning place.",4,2024-05-04,en,Nuria H.,True
C0000146,R000082,VINCCI CENTRUM,Cortes,restaurantes,"Nos encanto. Cocina tradicional bien ejecutada, buena relacion calidad-precio, platos caseros llenos de sabor. Un 10.",5,2025-12-15,es,Joao H.,True
C0000147,R000083,SENTE JUEGOS,Sol,ocio,"Endroit magnifique, personnel adorable, on a adore.",4,2025-03-31,fr,Marta B.,True
C0000148,R000087,PETIT PALACE LONDRES,Sol,restaurantes,"Muy recomendable. Las tapas riquisimas, postres caseros deliciosos.",4,2025-06-08,es,Carlos P.,True
C0000149,R000087,PETIT PALACE LONDRES,Sol,restaurantes,"Repetiremos. El vino de la casa acompaña genial, platos caseros llenos de sabor.",5,2024-05-25,es,Pablo G.,True
C0000150,R000088,CORRIENTES 348,Sol,restaurantes,"La comida estaba deliciosa, el servicio atento y cercano. Lo recomiendo.",4,2023-05-06,es,Clara L.,True
C0000151,R000088,CORRIENTES 348,Sol,restaurantes,"Highly recommended. One of the highlights of our trip, great value for money, stunning place.",5,2023-06-24,en,Marco V.,True
C0000152,R000089,WOK TO WALK,Sol,restaurantes,"Muy recomendable. Productos muy frescos, la comida estaba deliciosa, el servicio atento y cercano. Un 10.",4,2025-03-09,es,Sergio V.,True
C0000153,R000089,WOK TO WALK,Sol,restaurantes,"Nos encanto. El pescado y la carne de primera, las tapas riquisimas, el vino de la casa acompaña genial. Merece mucho la pena.",4,2024-02-11,es,Emma B.,True
C0000154,R000089,WOK TO WALK,Sol,restaurantes,"Nos encanto. Productos muy frescos, buena relacion calidad-precio, el pescado y la carne de primera. Volveremos.",4,2024-10-18,es,Ivan B.,True
C0000155,R000090,PETIT PALACE PLAZA ESPAÑA,Palacio,restaurantes,"Las tapas riquisimas, el pescado y la carne de primera, la paella espectacular. Volveremos.",5,2025-01-11,es,Chiara V.,True
